Metric,Original,Sampled,Difference
Number of nodes,500.0,76.0,424.0
Number of edges,700.0,67.0,633.0
Average node degree,2.8,1.763157894736842,1.0368421052631578
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.016652441915599808,0.005417329119726939
Average closeness centrality,0.13906582438179896,0.05276633897967801,0.08629948540212096
Average degree centrality,0.005611222444889779,0.023508771929824562,0.017897549484934785
Average eigenvector centrality,0.033649710003751394,0.05373744249762629,0.020087732493874896
Density,0.0056112224448897794,0.023508771929824562,0.017897549484934782
