Metric,Original,Sampled,Difference
Number of nodes,500.0,96.0,404.0
Number of edges,700.0,91.0,609.0
Average node degree,2.8,1.8958333333333333,0.9041666666666666
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.023569895483389326,0.012334782687516456
Average closeness centrality,0.13906582438179896,0.0671608129252646,0.07190501145653436
Average degree centrality,0.005611222444889779,0.019956140350877196,0.014344917905987417
Average eigenvector centrality,0.033649710003751394,0.05078413745616477,0.01713442745241338
Density,0.0056112224448897794,0.019956140350877193,0.014344917905987412
