Metric,Original,Sampled,Difference
Number of nodes,500.0,33.0,467.0
Number of edges,700.0,23.0,677.0
Average node degree,2.8,1.393939393939394,1.4060606060606058
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.0021383186705767354,0.009096794125296135
Average closeness centrality,0.13906582438179896,0.05556833213083213,0.08349749225096684
Average degree centrality,0.005611222444889779,0.043560606060606064,0.03794938361571629
Average eigenvector centrality,0.033649710003751394,0.0701366647667328,0.03648695476298141
Density,0.0056112224448897794,0.043560606060606064,0.03794938361571629
