Metric,Original,Sampled,Difference
Number of nodes,500.0,188.0,312.0
Number of edges,700.0,216.0,484.0
Average node degree,2.8,2.297872340425532,0.5021276595744677
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.03506980255133189,0.023834689755459017
Average closeness centrality,0.13906582438179896,0.13547059823570426,0.003595226146094699
Average degree centrality,0.005611222444889779,0.012288087381954716,0.006676864937064937
Average eigenvector centrality,0.033649710003751394,0.04710673855879665,0.013457028555045256
Density,0.0056112224448897794,0.012288087381954716,0.006676864937064936
