Metric,Original,Sampled,Difference
Number of nodes,500.0,138.0,362.0
Number of edges,700.0,136.0,564.0
Average node degree,2.8,1.9710144927536233,0.8289855072463765
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.018312736075071098,0.007077623279198229
Average closeness centrality,0.13906582438179896,0.07189522429815079,0.06717060008364817
Average degree centrality,0.005611222444889779,0.014386967100391413,0.008775744655501634
Average eigenvector centrality,0.033649710003751394,0.04527846461729131,0.011628754613539918
Density,0.0056112224448897794,0.014386967100391411,0.00877574465550163
