Metric,Original,Sampled,Difference
Number of nodes,500.0,110.0,390.0
Number of edges,700.0,109.0,591.0
Average node degree,2.8,1.981818181818182,0.8181818181818179
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.06412751366879807,0.0528924008729252
Average closeness centrality,0.13906582438179896,0.09266282811474232,0.04640299626705664
Average degree centrality,0.005611222444889779,0.01818181818181818,0.012570595736928402
Average eigenvector centrality,0.033649710003751394,0.0431198070874128,0.009470097083661408
Density,0.0056112224448897794,0.01818181818181818,0.0125705957369284
