Metric,Original,Sampled,Difference
Number of nodes,30.0,26.0,4.0
Number of edges,50.0,30.0,20.0
Average node degree,3.3333333333333335,2.3076923076923075,1.025641025641026
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,3.4246153846153846,0.5142705570291777
Average betweenness centrality,0.06822660098522167,0.10102564102564103,0.032799040040419364
Average closeness centrality,0.3491550895165296,0.3032243942998757,0.04593069521665394
Average degree centrality,0.11494252873563217,0.09230769230769233,0.022634836427939842
Average eigenvector centrality,0.16725610973893418,0.16154187941416456,0.005714230324769615
Density,0.11494252873563218,0.09230769230769231,0.02263483642793987
