Metric,Original,Sampled,Difference
Number of nodes,2000.0,293.0,1707.0
Number of edges,2600.0,262.0,2338.0
Average node degree,2.6,1.78839590443686,0.8116040955631401
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,0.00010410978183698818,0.0038857517655533236
Average closeness centrality,0.10967002244900592,0.020563487661989344,0.08910653478701658
Average degree centrality,0.0013006503251625809,0.006124643508345412,0.00482399318318283
Average eigenvector centrality,0.0030070714914498236,0.016646426620459457,0.013639355129009633
Density,0.0013006503251625813,0.006124643508345411,0.0048239931831828295
