Metric,Original,Sampled,Difference
Number of nodes,2000,15,2105
Number of edges,2600,11,2589
Average node degree,2.6,1.466666667,1.133333333
Average clustering coefficient,0,0,0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989862,0.020512821,0.016522959
Average closeness centrality,0.109670022,0.229206349,0.119536327
Average degree centrality,0.00130065,0.104761905,0.103461254
Average eigenvector centrality,0.003007071,0.180474401,0.177467329
Density,0.00130065,0.104761905,0.103461254
