Metric,Original,Sampled,Difference
Number of nodes,2000,486,1514
Number of edges,2600,474,2126
Average node degree,2.6,1.950617284,0.649382716
Average clustering coefficient,0,0,0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989862,0.007753382,0.00376352
Average closeness centrality,0.109670022,0.04507589,0.024594132
Average degree centrality,0.00130065,0.004021891,0.002721241
Average eigenvector centrality,0.003007071,0.009619786,0.006612715
Density,0.00130065,0.004021891,0.002721241
