Metric,Original,Sampled,Difference
Number of nodes,2000.0,331.0,1669.0
Number of edges,2600.0,299.0,2301.0
Average node degree,2.6,1.8066465256797584,0.7933534743202417
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,8.44262977064931e-05,0.003905435249683819
Average closeness centrality,0.10967002244900592,0.018721625862766374,0.09094839658623954
Average degree centrality,0.0013006503251625809,0.005474686441453813,0.004174036116291233
Average eigenvector centrality,0.0030070714914498236,0.014737137121488202,0.011730065630038379
Density,0.0013006503251625813,0.005474686441453813,0.004174036116291232
