Metric,Original,Sampled,Difference
Number of nodes,30.0,11.0,19.0
Number of edges,50.0,10.0,40.0
Average node degree,3.3333333333333335,1.8181818181818181,1.5151515151515154
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,2.4363636363636365,0.47398119122257043
Average betweenness centrality,0.06822660098522167,0.1595959595959596,0.09136935861073793
Average closeness centrality,0.3491550895165296,0.4300457278204389,0.08089063830390925
Average degree centrality,0.11494252873563217,0.18181818181818185,0.06687565308254968
Average eigenvector centrality,0.16725610973893418,0.2604637803959591,0.0932076706570249
Density,0.11494252873563218,0.18181818181818182,0.06687565308254964
