Metric,Original,Sampled,Difference
Number of nodes,500.0,135.0,365.0
Number of edges,700.0,133.0,567.0
Average node degree,2.8,1.9703703703703703,0.8296296296296295
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.04108280651878453,0.030263835242899426
Average closeness centrality,0.14196666686865936,0.08985042835740205,0.05211623851125731
Average degree centrality,0.0056112224448897794,0.01470425649530127,0.00909303405041149
Average eigenvector centrality,0.02794303625376141,0.045052291204026915,0.017109254950265506
Density,0.0056112224448897794,0.014704256495301271,0.00909303405041149
