Metric,Original,Sampled,Difference
Number of nodes,500.0,165.0,335.0
Number of edges,700.0,157.0,543.0
Average node degree,2.8,1.903030303030303,0.8969696969696968
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.004163435945569718,0.006655535330315385
Average closeness centrality,0.14196666686865936,0.037345543841773826,0.10462112302688553
Average degree centrality,0.0056112224448897794,0.011603843311160386,0.005992620866270607
Average eigenvector centrality,0.02794303625376141,0.026096101175975918,0.0018469350777854908
Density,0.0056112224448897794,0.011603843311160385,0.005992620866270605
