Metric,Original,Sampled,Difference
Number of nodes,30.0,6.0,24.0
Number of edges,50.0,5.0,45.0
Average node degree,3.3333333333333335,1.6666666666666667,1.6666666666666667
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,2.066666666666667,0.8436781609195401
Average betweenness centrality,0.06822660098522167,0.26666666666666666,0.198440065681445
Average closeness centrality,0.3491550895165296,0.5081955081955082,0.15904041867897856
Average degree centrality,0.11494252873563217,0.3333333333333333,0.21839080459770116
Average eigenvector centrality,0.16725610973893418,0.38346603713025496,0.21620992739132078
Density,0.11494252873563218,0.3333333333333333,0.21839080459770113
