Metric,Original,Sampled,Difference
Number of nodes,500.0,170.0,330.0
Number of edges,700.0,168.0,532.0
Average node degree,2.8,1.9764705882352942,0.8235294117647056
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.01231001276250145,0.0014910414866163464
Average closeness centrality,0.14196666686865936,0.053704531804444414,0.08826213506421494
Average degree centrality,0.0056112224448897794,0.011695092238078665,0.006083869793188886
Average eigenvector centrality,0.02794303625376141,0.025444156081768816,0.0024988801719925922
Density,0.0056112224448897794,0.011695092238078663,0.006083869793188884
