Metric,Original,Sampled,Difference
Number of nodes,30.0,19.0,11.0
Number of edges,50.0,20.0,30.0
Average node degree,3.3333333333333335,2.1052631578947367,1.2280701754385968
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,3.3216374269005846,0.41129259931437767
Average betweenness centrality,0.06822660098522167,0.1365669074647403,0.06834030647951862
Average closeness centrality,0.3491550895165296,0.31683045287562195,0.03232463664090768
Average degree centrality,0.11494252873563217,0.11695906432748539,0.002016535591853219
Average eigenvector centrality,0.16725610973893418,0.18726092176554882,0.020004812026614638
Density,0.11494252873563218,0.11695906432748537,0.0020165355918531913
