Metric,Original,Sampled,Difference
Number of nodes,30.0,29.0,1.0
Number of edges,50.0,40.0,10.0
Average node degree,3.3333333333333335,2.7586206896551726,0.5747126436781609
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,3.2019704433497536,0.2916256157635466
Average betweenness centrality,0.06822660098522167,0.0815544608648057,0.013327859879584028
Average closeness centrality,0.3491550895165296,0.3223308030108411,0.02682428650568852
Average degree centrality,0.11494252873563217,0.09852216748768472,0.01642036124794745
Average eigenvector centrality,0.16725610973893418,0.16127434428213497,0.00598176545679921
Density,0.11494252873563218,0.09852216748768473,0.01642036124794745
