Metric,Original,Sampled,Difference
Number of nodes,2000.0,184.0,1816.0
Number of edges,2600.0,157.0,2443.0
Average node degree,2.6,1.7065217391304348,0.8934782608695653
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,0.00021833120550155476,0.0037715303418887573
Average closeness centrality,0.10967002244900592,0.028169345917794113,0.0815006765312118
Average degree centrality,0.0013006503251625809,0.009325255405084346,0.008024605079921764
Average eigenvector centrality,0.0030070714914498236,0.017729708216455194,0.01472263672500537
Density,0.0013006503251625813,0.009325255405084344,0.008024605079921763
