Metric,Original,Sampled,Difference
Number of nodes,2000.0,72.0,1928.0
Number of edges,2600.0,56.0,2544.0
Average node degree,2.6,1.5555555555555556,1.0444444444444445
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,0.0011122289291303376,0.0028776326182599742
Average closeness centrality,0.10967002244900592,0.05876741933079962,0.050902603118206304
Average degree centrality,0.0013006503251625809,0.02190923317683881,0.02060858285167623
Average eigenvector centrality,0.0030070714914498236,0.07343426484198345,0.07042719335053363
Density,0.0013006503251625813,0.02190923317683881,0.02060858285167623
