Metric,Original,Sampled,Difference
Number of nodes,2000.0,122.0,1878.0
Number of edges,2600.0,100.0,2500.0
Average node degree,2.6,1.639344262295082,0.9606557377049181
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.003989861547390312,0.000485480738833943,0.0035043808085563686
Average closeness centrality,0.10967002244900592,0.041286463785074085,0.06838355866393184
Average degree centrality,0.0013006503251625809,0.013548299688389106,0.012247649363226525
Average eigenvector centrality,0.0030070714914498236,0.05177573382436642,0.048768662332916594
Density,0.0013006503251625813,0.013548299688389108,0.012247649363226526
