Metric,Original,Sampled,Difference
Number of nodes,500.0,114.0,386.0
Number of edges,700.0,105.0,595.0
Average node degree,2.8,1.8421052631578947,0.9578947368421051
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.01203645174884113,0.0012174804729560267
Average closeness centrality,0.14196666686865936,0.04707376204422055,0.09489290482443881
Average degree centrality,0.0056112224448897794,0.016301816488122962,0.010690594043233182
Average eigenvector centrality,0.02794303625376141,0.03323950302399453,0.0052964667702331235
Density,0.0056112224448897794,0.016301816488122962,0.010690594043233182
