Metric,Original,Sampled,Difference
Number of nodes,500.0,201.0,299.0
Number of edges,700.0,238.0,462.0
Average node degree,2.8,2.3681592039800994,0.43184079601990044
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.0289387234680867,0.018119752192201598
Average closeness centrality,0.14196666686865936,0.1501348515841198,0.008168184715460436
Average degree centrality,0.0056112224448897794,0.011840796019900497,0.006229573575010717
Average eigenvector centrality,0.02794303625376141,0.03422085587717874,0.006277819623417332
Density,0.0056112224448897794,0.011840796019900497,0.006229573575010717
