Metric,Original,Sampled,Difference
Number of nodes,500.0,91.0,409.0
Number of edges,700.0,80.0,620.0
Average node degree,2.8,1.7582417582417582,1.0417582417582416
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.004357190874044807,0.006461780401840296
Average closeness centrality,0.14196666686865936,0.0437996732537217,0.09816699361493766
Average degree centrality,0.0056112224448897794,0.019536019536019533,0.013924797091129752
Average eigenvector centrality,0.02794303625376141,0.04531743211165365,0.01737439585789224
Density,0.0056112224448897794,0.019536019536019536,0.013924797091129756
