Metric,Original,Sampled,Difference
Number of nodes,500.0,39.0,461.0
Number of edges,700.0,26.0,674.0
Average node degree,2.8,1.3333333333333333,1.4666666666666666
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.010818971275885103,0.000984790458474669,0.009834180817410434
Average closeness centrality,0.14196666686865936,0.044894579105105414,0.09707208776355394
Average degree centrality,0.0056112224448897794,0.035087719298245626,0.029476496853355846
Average eigenvector centrality,0.02794303625376141,0.059224974356329216,0.03128193810256781
Density,0.0056112224448897794,0.03508771929824561,0.029476496853355832
