Metric,Original,Sampled,Difference
Number of nodes,500.0,174.0,326.0
Number of edges,700.0,184.0,516.0
Average node degree,2.8,2.1149425287356323,0.6850574712643676
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.030687909170834676,0.019452796374961806
Average closeness centrality,0.13906582438179896,0.10434113436850662,0.03472469001329234
Average degree centrality,0.005611222444889779,0.012225101322171283,0.0066138788772815045
Average eigenvector centrality,0.033649710003751394,0.045231951790843765,0.01158224178709237
Density,0.0056112224448897794,0.012225101322171285,0.006613878877281505
