Metric,Original,Sampled,Difference
Number of nodes,30.0,2.0,28.0
Number of edges,50.0,1.0,49.0
Average node degree,3.3333333333333335,1.0,2.3333333333333335
Average clustering coefficient,0.0,0.0,0.0
Average path length,2.910344827586207,1.0,1.910344827586207
Average betweenness centrality,0.06822660098522167,0.0,0.06822660098522167
Average closeness centrality,0.3491550895165296,1.0,0.6508449104834704
Average degree centrality,0.11494252873563217,1.0,0.8850574712643678
Average eigenvector centrality,0.16725610973893418,0.7071067811865475,0.5398506714476132
Density,0.11494252873563218,1.0,0.8850574712643678
