Metric,Original,Sampled,Difference
Number of nodes,500.0,150.0,350.0
Number of edges,700.0,153.0,547.0
Average node degree,2.8,2.04,0.7599999999999998
Average clustering coefficient,0.0,0.0,0.0
Average path length,Graph is not connected,Graph is not connected,N/A
Average betweenness centrality,0.01123511279587287,0.01845577120744906,0.007220658411576191
Average closeness centrality,0.13906582438179896,0.08302989679151528,0.05603592759028368
Average degree centrality,0.005611222444889779,0.01369127516778524,0.008080052722895461
Average eigenvector centrality,0.033649710003751394,0.04536051226077278,0.011710802257021383
Density,0.0056112224448897794,0.013691275167785235,0.008080052722895456
